epoch: 117, Seg_Loss: 0.170, Overall_Acc: 0.998, Mean_IOU: 0.755, Class_0: 0.999, Class_1: 0.665 
epoch: 118, Seg_Loss: 0.168, Overall_Acc: 0.998, Mean_IOU: 0.757, Class_0: 0.999, Class_1: 0.668 
epoch: 119, Seg_Loss: 0.174, Overall_Acc: 0.997, Mean_IOU: 0.748, Class_0: 0.999, Class_1: 0.657 
epoch: 120, Seg_Loss: 0.174, Overall_Acc: 0.998, Mean_IOU: 0.754, Class_0: 0.999, Class_1: 0.655 
epoch: 121, Seg_Loss: 0.169, Overall_Acc: 0.997, Mean_IOU: 0.753, Class_0: 0.999, Class_1: 0.667 
epoch: 122, Seg_Loss: 0.171, Overall_Acc: 0.998, Mean_IOU: 0.754, Class_0: 0.999, Class_1: 0.662 
epoch: 123, Seg_Loss: 0.178, Overall_Acc: 0.997, Mean_IOU: 0.747, Class_0: 0.999, Class_1: 0.649 
epoch: 124, Seg_Loss: 0.169, Overall_Acc: 0.998, Mean_IOU: 0.756, Class_0: 0.999, Class_1: 0.666 
epoch: 125, Seg_Loss: 0.172, Overall_Acc: 0.997, Mean_IOU: 0.750, Class_0: 0.999, Class_1: 0.660 
epoch: 126, Seg_Loss: 0.156, Overall_Acc: 0.998, Mean_IOU: 0.769, Class_0: 0.999, Class_1: 0.692 
epoch: 127, Seg_Loss: 0.157, Overall_Acc: 0.998, Mean_IOU: 0.770, Class_0: 0.999, Class_1: 0.691 
epoch: 128, Seg_Loss: 0.165, Overall_Acc: 0.998, Mean_IOU: 0.760, Class_0: 0.999, Class_1: 0.675 
epoch: 129, Seg_Loss: 0.171, Overall_Acc: 0.997, Mean_IOU: 0.752, Class_0: 0.999, Class_1: 0.663 
epoch: 130, Seg_Loss: 0.171, Overall_Acc: 0.998, Mean_IOU: 0.756, Class_0: 0.999, Class_1: 0.661 
epoch: 131, Seg_Loss: 0.164, Overall_Acc: 0.998, Mean_IOU: 0.759, Class_0: 0.999, Class_1: 0.676 
epoch: 132, Seg_Loss: 0.171, Overall_Acc: 0.998, Mean_IOU: 0.753, Class_0: 0.999, Class_1: 0.661 
epoch: 133, Seg_Loss: 0.152, Overall_Acc: 0.998, Mean_IOU: 0.774, Class_0: 0.999, Class_1: 0.700 
epoch: 134, Seg_Loss: 0.169, Overall_Acc: 0.998, Mean_IOU: 0.754, Class_0: 0.999, Class_1: 0.668 
epoch: 135, Seg_Loss: 0.162, Overall_Acc: 0.998, Mean_IOU: 0.765, Class_0: 0.999, Class_1: 0.679 
epoch: 136, Seg_Loss: 0.161, Overall_Acc: 0.998, Mean_IOU: 0.766, Class_0: 0.999, Class_1: 0.682 
epoch: 137, Seg_Loss: 0.160, Overall_Acc: 0.998, Mean_IOU: 0.766, Class_0: 0.999, Class_1: 0.683 
epoch: 138, Seg_Loss: 0.163, Overall_Acc: 0.998, Mean_IOU: 0.764, Class_0: 0.999, Class_1: 0.677 
epoch: 139, Seg_Loss: 0.164, Overall_Acc: 0.998, Mean_IOU: 0.760, Class_0: 0.999, Class_1: 0.674 
epoch: 140, Seg_Loss: 0.163, Overall_Acc: 0.998, Mean_IOU: 0.762, Class_0: 0.999, Class_1: 0.679 
epoch: 141, Seg_Loss: 0.155, Overall_Acc: 0.998, Mean_IOU: 0.771, Class_0: 0.999, Class_1: 0.695 
epoch: 142, Seg_Loss: 0.164, Overall_Acc: 0.998, Mean_IOU: 0.762, Class_0: 0.999, Class_1: 0.675 
epoch: 143, Seg_Loss: 0.159, Overall_Acc: 0.998, Mean_IOU: 0.766, Class_0: 0.999, Class_1: 0.686 
epoch: 144, Seg_Loss: 0.163, Overall_Acc: 0.998, Mean_IOU: 0.761, Class_0: 0.999, Class_1: 0.678 
epoch: 145, Seg_Loss: 0.155, Overall_Acc: 0.998, Mean_IOU: 0.773, Class_0: 0.999, Class_1: 0.695 
epoch: 146, Seg_Loss: 0.156, Overall_Acc: 0.998, Mean_IOU: 0.773, Class_0: 0.999, Class_1: 0.693 
epoch: 147, Seg_Loss: 0.158, Overall_Acc: 0.998, Mean_IOU: 0.767, Class_0: 0.999, Class_1: 0.689 
epoch: 148, Seg_Loss: 0.157, Overall_Acc: 0.998, Mean_IOU: 0.768, Class_0: 0.999, Class_1: 0.689 
epoch: 149, Seg_Loss: 0.152, Overall_Acc: 0.998, Mean_IOU: 0.775, Class_0: 0.999, Class_1: 0.701 
epoch: 150, Seg_Loss: 0.154, Overall_Acc: 0.998, Mean_IOU: 0.772, Class_0: 0.999, Class_1: 0.696 
epoch: 151, Seg_Loss: 0.159, Overall_Acc: 0.998, Mean_IOU: 0.766, Class_0: 0.999, Class_1: 0.685 
epoch: 152, Seg_Loss: 0.161, Overall_Acc: 0.998, Mean_IOU: 0.770, Class_0: 0.999, Class_1: 0.681 
epoch: 153, Seg_Loss: 0.150, Overall_Acc: 0.998, Mean_IOU: 0.777, Class_0: 0.999, Class_1: 0.703 
epoch: 154, Seg_Loss: 0.154, Overall_Acc: 0.998, Mean_IOU: 0.771, Class_0: 0.999, Class_1: 0.696 
epoch: 155, Seg_Loss: 0.159, Overall_Acc: 0.998, Mean_IOU: 0.768, Class_0: 0.999, Class_1: 0.686 
epoch: 156, Seg_Loss: 0.157, Overall_Acc: 0.998, Mean_IOU: 0.768, Class_0: 0.999, Class_1: 0.691 
epoch: 157, Seg_Loss: 0.168, Overall_Acc: 0.997, Mean_IOU: 0.754, Class_0: 0.999, Class_1: 0.670 
epoch: 158, Seg_Loss: 0.156, Overall_Acc: 0.998, Mean_IOU: 0.768, Class_0: 0.999, Class_1: 0.692 
epoch: 159, Seg_Loss: 0.154, Overall_Acc: 0.998, Mean_IOU: 0.773, Class_0: 0.999, Class_1: 0.696 
epoch: 160, Seg_Loss: 0.150, Overall_Acc: 0.998, Mean_IOU: 0.776, Class_0: 0.999, Class_1: 0.704 
epoch: 161, Seg_Loss: 0.192, Overall_Acc: 0.998, Mean_IOU: 0.735, Class_0: 0.999, Class_1: 0.621 
epoch: 162, Seg_Loss: 0.155, Overall_Acc: 0.998, Mean_IOU: 0.770, Class_0: 0.999, Class_1: 0.694 
epoch: 163, Seg_Loss: 0.159, Overall_Acc: 0.998, Mean_IOU: 0.765, Class_0: 0.999, Class_1: 0.686 
epoch: 164, Seg_Loss: 0.149, Overall_Acc: 0.998, Mean_IOU: 0.777, Class_0: 0.999, Class_1: 0.705 
epoch: 165, Seg_Loss: 0.156, Overall_Acc: 0.998, Mean_IOU: 0.768, Class_0: 0.999, Class_1: 0.691 
epoch: 166, Seg_Loss: 0.174, Overall_Acc: 0.997, Mean_IOU: 0.746, Class_0: 0.998, Class_1: 0.656 
epoch: 167, Seg_Loss: 0.154, Overall_Acc: 0.998, Mean_IOU: 0.771, Class_0: 0.999, Class_1: 0.695 
epoch: 168, Seg_Loss: 0.149, Overall_Acc: 0.998, Mean_IOU: 0.777, Class_0: 0.999, Class_1: 0.706 
epoch: 169, Seg_Loss: 0.148, Overall_Acc: 0.998, Mean_IOU: 0.778, Class_0: 0.999, Class_1: 0.707 
epoch: 170, Seg_Loss: 0.168, Overall_Acc: 0.997, Mean_IOU: 0.755, Class_0: 0.999, Class_1: 0.670 
epoch: 171, Seg_Loss: 0.147, Overall_Acc: 0.998, Mean_IOU: 0.782, Class_0: 0.999, Class_1: 0.710 
epoch: 172, Seg_Loss: 0.150, Overall_Acc: 0.998, Mean_IOU: 0.775, Class_0: 0.999, Class_1: 0.704 
epoch: 173, Seg_Loss: 0.147, Overall_Acc: 0.998, Mean_IOU: 0.781, Class_0: 0.999, Class_1: 0.710 
epoch: 174, Seg_Loss: 0.145, Overall_Acc: 0.998, Mean_IOU: 0.782, Class_0: 0.999, Class_1: 0.713 
epoch: 175, Seg_Loss: 0.151, Overall_Acc: 0.998, Mean_IOU: 0.777, Class_0: 0.999, Class_1: 0.702 
epoch: 176, Seg_Loss: 0.151, Overall_Acc: 0.998, Mean_IOU: 0.774, Class_0: 0.999, Class_1: 0.702 
epoch: 177, Seg_Loss: 0.150, Overall_Acc: 0.998, Mean_IOU: 0.776, Class_0: 0.999, Class_1: 0.703 
epoch: 178, Seg_Loss: 0.154, Overall_Acc: 0.998, Mean_IOU: 0.774, Class_0: 0.999, Class_1: 0.695 
